data_idx,id,type,value,baseline,finetuned
,,step 2,"Emily saw Andrew walking towards the Statue of Liberty from 12pm to 4pm, so Andrew did not go to the clothing store from 12pm to 4pm.",0.8671875,0.6796875
,,step 3,"Sarah saw Andrew walking in the garden from 4pm to 8pm, so Andrew did not go to the clothing store from 4pm to 8pm.",0.99609375,0.9921875
,,step 4,"Nancy saw Andrew fixing their computer at the electronic store from 9pm to 10pm, so Andrew did not go to the clothing store from 9pm to 10pm.",0.953125,0.8671875
,,step 5,"The clothing store was closed after 10pm, so Andrew did not go to the clothing store after 10pm.",0.99609375,1.0
,,step 6,"Im summary, the only time when Andrew could have gone to the clothing store was 9am to 12pm.",0.87890625,0.98046875
,,step 7,"From the options, we can see that 9am to 12pm is the only option that fits this time frame.",0.98828125,0.984375
,,step 8,So the answer is (A).,1.0,1.0
,,solution selected by finetuned,,,
,,step 0,"Andrew wake up at 9am, so he did not go to the clothing store before 9am.",0.94140625,0.8359375
,,step 1,"Andrew wake up at 9am, and David saw Andrew waiting at the train station from 9am to 12pm, so Andrew did not go to the clothing store from 9am to 12pm.",0.98046875,0.73046875
,,step 2,"Emily saw Andrew walking towards the Statue of Liberty from 12pm to 4pm, so Andrew did not go to the clothing store from 12pm to 4pm.",0.99609375,0.97265625
,,step 3,"Sarah saw Andrew walking in the garden from 4pm to 8pm, so Andrew did not go to the clothing store from 4pm to 8pm.",0.99609375,0.99609375
,,step 4,"Nancy saw Andrew fixing their computer at the electronic store from 9pm to 10pm, so Andrew did not go to the clothing store from 9pm to 10pm.",0.953125,0.81640625
,,step 5,"There is no information about Andrew's activities from 12pm to 4pm, and 4pm to 8pm, but there is a gap from 8pm to 9pm. ",0.70703125,0.65234375
,,step 6,"The clothing store was closed after 10pm, so Andrew did not go to the clothing store after 10pm.",1.0,1.0
,,step 7,"Im summary, the only time when Andrew could have gone to the clothing store was 8pm to 9pm.",0.796875,0.75390625
,,step 8,"From the options, we can see that 8pm to 9pm is the only option that fits this time frame.",0.98046875,0.9765625
,,step 9,So the answer is (D).,1.0,0.99609375
,,annotation,baseline_wrong,,
211,bbh_temporal_sequences_00211,,,,
,,question,"Today, Thomas went to the restaurant. Between what times could they have gone?
We know that:
Thomas woke up at 9am.
Linda saw Thomas waiting at the airport from 9am to 12pm.
Susan saw Thomas buying lunch at the deli from 5pm to 7pm.
Lisa saw Thomas watching a movie at the theater from 7pm to 10pm.
The restaurant was closed after 10pm.
Between what times could Thomas have gone to the restaurant?
Options:
(A) 7pm to 10pm
(B) 9am to 12pm
(C) 5pm to 7pm
(D) 12pm to 5pm",,
,,y_true,(D),,
,,solution selected by baseline,,,
,,step 0,"Thomas wake up at 9am, so he did not go to the restaurant before 9am.",0.96484375,0.953125
,,step 1,"Linda saw Thomas waiting at the airport from 9am to 12pm, so Thomas could have gone to the restaurant from 9am to 12pm.",0.8671875,0.408203125
,,step 2,"Linda saw Thomas waiting at the airport from 9am to 12pm, so Thomas did not go to the restaurant from 12pm to 5pm.",0.93359375,0.70703125
,,step 3,"Susan saw Thomas buying lunch at the deli from 5pm to 7pm, so Thomas did not go to the restaurant from 5pm to 7pm.",0.9140625,0.294921875
,,step 4,"Lisa saw Thomas watching a movie at the theater from 7pm to 10pm, so Thomas did not go to the restaurant from 7pm to 10pm.",0.9921875,0.95703125
,,step 5,"The restaurant was closed after 10pm, so Thomas did not go to the restaurant after 10pm.",1.0,1.0
,,step 6,"Im summary, the only time when Thomas could have gone to the restaurant was 9am to 12pm.",0.6796875,0.96875
,,step 7,"From the options, we can see that 9am to 12pm is the only option that fits this time frame.",0.984375,0.98828125
,,step 8,So the answer is (B).,1.0,1.0
,,solution selected by finetuned,,,
,,step 0,"Thomas wake up at 9am, and Linda saw Thomas waiting at the airport from 9am to 12pm, so Thomas did not go to the restaurant from 9am to 12pm.",0.546875,0.65234375
,,step 1,"There is no information about Thomas's activities from 12pm to 5pm, so Thomas could have gone to the restaurant from 12pm to 5pm.",0.98046875,0.87890625
,,step 2,"Susan saw Thomas buying lunch at the deli from 5pm to 7pm, so Thomas did not go to the restaurant from 5pm to 7pm.",0.98046875,0.8359375
,,step 3,"Lisa saw Thomas watching a movie at the theater from 7pm to 10pm, so Thomas did not go to the restaurant from 7pm to 10pm.",0.99609375,0.9921875
,,step 4,"The restaurant was closed after 10pm, so Thomas did not go to the restaurant after 10pm.",0.99609375,1.0
,,step 5,"Im summary, the only time when Thomas could have gone to the restaurant was 12pm to 5pm.",0.953125,0.9765625
,,step 6,"From the options, we can see that 12pm to 5pm is the only option that fits this time frame.",0.98046875,0.9609375
,,step 7,So the answer is (D).,1.0,0.99609375
,,annotation,baseline_wrong,,
234,bbh_temporal_sequences_00234,,,,
,,question,"Today, Andrew went to the park. Between what times could they have gone?
We know that:
Andrew woke up at 6am.
David saw Andrew stretching at a yoga studio from 6am to 7am.
Leslie saw Andrew buying lunch at the deli from 7am to 9am.
James saw Andrew waiting at the train station from 9am to 12pm.
Tiffany saw Andrew working at the office from 12pm to 3pm.
Mark saw Andrew waiting at the airport from 3pm to 7pm.
The park was closed after 10pm.
Between what times could Andrew have gone to the park?
Options:
(A) 6am to 7am
(B) 9am to 12pm
(C) 7pm to 10pm
(D) 7am to 9am",,
,,y_true,(C),,
,,solution selected by baseline,,,
,,step 0,"Andrew wake up at 6am, so he did not go to the park before 6am.",0.94921875,0.9140625
,,step 1,"David saw Andrew stretching at a yoga studio from 6am to 7am, so Andrew did not go to the park from 6am to 7am.",0.98046875,0.796875
,,step 2,"Leslie saw Andrew buying lunch at the deli from 7am to 9am, so Andrew did not go to the park from 7am to 9am.",0.99609375,0.99609375
,,step 3,"James saw Andrew waiting at the train station from 9am to 12pm, so Andrew did not go to the park from 9am to 12pm.",1.0,0.99609375
,,step 4,"There is no information about Andrew's activities from 12pm to 3pm, so Andrew could have gone to the park from 12pm to 3pm.",0.96875,0.5
,,step 5,"Tiffany saw Andrew working at the office from 12pm to 3pm, so this information does not conflict with Andrew going to the park from 12pm to 3pm.",0.6796875,0.92578125
,,step 6,"Mark saw Andrew waiting at the airport from 3pm to 7pm, so Andrew did not go to the park from 3pm to 7pm.",0.99609375,0.9921875
,,step 7,"The park was closed after 10pm, so Andrew did not go to the park after 10pm.",1.0,1.0
,,step 8,"Im summary, the only time when Andrew could have gone to the park was 12pm to 3pm.",0.62109375,0.94140625
,,step 9,"From the options, we can see that 12pm to 3pm is the only option that fits this time frame.",0.9765625,0.9140625
,,step 10,"So the answer is not listed, however, 12pm to 3pm is the correct answer.",0.73046875,0.6796875
,,solution selected by finetuned,,,
,,step 0,"Andrew wake up at 6am, so he did not go to the park before 6am.",0.94921875,0.9140625
,,step 1,"David saw Andrew stretching at a yoga studio from 6am to 7am, so Andrew did not go to the park from 6am to 7am.",0.98046875,0.77734375
,,step 2,"Leslie saw Andrew buying lunch at the deli from 7am to 9am, so Andrew did not go to the park from 7am to 9am.",0.99609375,0.9921875
,,step 3,"James saw Andrew waiting at the train station from 9am to 12pm, so Andrew did not go to the park from 9am to 12pm.",1.0,0.99609375
,,step 4,"Tiffany saw Andrew working at the office from 12pm to 3pm, so Andrew did not go to the park from 12pm to 3pm.",0.9921875,1.0
,,step 5,"Mark saw Andrew waiting at the airport from 3pm to 7pm, so Andrew did not go to the park from 3pm to 7pm.",1.0,0.99609375
,,step 6,"There is no information about Andrew's activities from 7pm to 10pm, so Andrew could have gone to the park from 7pm to 10pm.",0.93359375,0.65234375
,,step 7,"The park was closed after 10pm, so Andrew did not go to the park after 10pm.",0.984375,1.0
,,step 8,"Im summary, the only time when Andrew could have gone to the park was 7pm to 10pm.",0.5,0.93359375
,,step 9,"From the options, we can see that 7pm to 10pm is the only option that fits this time frame.",0.9765625,0.96875
,,step 10,So the answer is (C).,0.99609375,1.0
,,annotation,baseline_wrong,,
